module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson
M3,,,The opposition offered by a coil to the flow of alternating current is,impedance,reluctance,inductive reactance,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""336. The opposition offered by a coil to the flow of alternating current is\ncalled (disregard resistance)\na) impedance\nb) reluctance\nc) inductive reactance"", ""question"": ""The opposition offered by a coil to the flow of alternating current is"", ""options"": [""impedance"", ""reluctance"", ""inductive reactance""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""MEDIUM""}"
M3,M3.3.2,2,A high surge of current is required when a DC electric motor is first,the applied emf increases proportionally,the counter emf decreases proportionally,"the counter emf builds up and opposes the applied emf, thus reducing",,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""338. A high surge of current is required when a DC electric motor is first\nstarted. As the speed of the motor increase\na) the applied emf increases proportionally\nb) the counter emf decreases proportionally\nc) the counter emf builds up and opposes the applied emf, thus reducing\nthe current flow through the armature"", ""question"": ""A high surge of current is required when a DC electric motor is first"", ""options"": [""the applied emf increases proportionally"", ""the counter emf decreases proportionally"", ""the counter emf builds up and opposes the applied emf, thus reducing""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.2"", ""level"": 2, ""difficulty"": ""MEDIUM""}"
M3,M3.03.02,,The various parts of an aircraft airframe are maintained at the same,the supply bus-bars,static discharge wicks,bonding,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""339. The various parts of an aircraft airframe are maintained at the same\npotential by\na) the supply bus-bars\nb) static discharge wicks\nc) bonding"", ""question"": ""The various parts of an aircraft airframe are maintained at the same"", ""options"": [""the supply bus-bars"", ""static discharge wicks"", ""bonding""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.03.02"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M3,M3.03.08,,When two capacitors are connected in series,the charge stored on each is directly proportional to its capacitance,the charge stored on each is the same,the charge stored on each is inversely proportional to the voltage,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""340. When two capacitors are connected in series\na) the charge stored on each is directly proportional to its capacitance\nb) the charge stored on each is the same\nc) the charge stored on each is inversely proportional to the voltage\nacross it"", ""question"": ""When two capacitors are connected in series"", ""options"": [""the charge stored on each is directly proportional to its capacitance"", ""the charge stored on each is the same"", ""the charge stored on each is inversely proportional to the voltage""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.03.08"", ""level"": null, ""difficulty"": ""EASY""}"
M3,,,Aircraft generators are cooled by,oil cooling radiators around the main body,fuel cooling radiators,ram air,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""341. Aircraft generators are cooled by\na) oil cooling radiators around the main body\nb) fuel cooling radiators\nc) ram air"", ""question"": ""Aircraft generators are cooled by"", ""options"": [""oil cooling radiators around the main body"", ""fuel cooling radiators"", ""ram air""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""EASY""}"
M3,M3.3.9,2,The charge on a capacitor is expressed as,the ratio Q/V,the product Q x V,the product C x V,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""343. The charge on a capacitor is expressed as\na) the ratio Q/V\nb) the product Q x V\nc) the product C x V"", ""question"": ""The charge on a capacitor is expressed as"", ""options"": [""the ratio Q/V"", ""the product Q x V"", ""the product C x V""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.9"", ""level"": 2, ""difficulty"": ""EASY""}"
M3,,,A shunt is used with,an ammeter,an ohmmeter,a voltmeter,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""344. A shunt is used with\na) an ammeter\nb) an ohmmeter\nc) a voltmeter"", ""question"": ""A shunt is used with"", ""options"": [""an ammeter"", ""an ohmmeter"", ""a voltmeter""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""EASY""}"
M3,M3.03.07,,The resistance of the current return path through the aircraft is always,generator is properly grounded,voltage drop across the circuit is checked,structure is adequately bonded,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""345. The resistance of the current return path through the aircraft is always\nconsidered negligible, provided the\na) generator is properly grounded\nb) voltage drop across the circuit is checked\nc) structure is adequately bonded\nPage 42\nModule 3 – Electrical Fundamentals\nSample Questions"", ""question"": ""The resistance of the current return path through the aircraft is always"", ""options"": [""generator is properly grounded"", ""voltage drop across the circuit is checked"", ""structure is adequately bonded""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.03.07"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M3,,,An ammeter is connected into a circuit in,parallel,shunt,series,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""346. An ammeter is connected into a circuit in\na) parallel\nb) shunt\nc) series"", ""question"": ""An ammeter is connected into a circuit in"", ""options"": [""parallel"", ""shunt"", ""series""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""EASY""}"
M3,M3.03.03,,"When handling a high voltage capacitor in an electrical circuit, be sure",has a full charge before removing it from the circuit,is fully discharged before removing it from the circuit,has at least a residual charge before removing it from the circuit,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""347. When handling a high voltage capacitor in an electrical circuit, be sure\nit\na) has a full charge before removing it from the circuit\nb) is fully discharged before removing it from the circuit\nc) has at least a residual charge before removing it from the circuit"", ""question"": ""When handling a high voltage capacitor in an electrical circuit, be sure"", ""options"": [""has a full charge before removing it from the circuit"", ""is fully discharged before removing it from the circuit"", ""has at least a residual charge before removing it from the circuit""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.03.03"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M3,M3.03.08,,When a circuit with a series inductance and capacitance is at resonant,the current in the circuit decreases,the impedance of the circuit is such that the voltage is in phase with the,the impedance of the circuit is such that the voltage leads the current,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""348. When a circuit with a series inductance and capacitance is at resonant\nfrequency\na) the current in the circuit decreases\nb) the impedance of the circuit is such that the voltage is in phase with the\ncurrent\nc) the impedance of the circuit is such that the voltage leads the current\nby exactly 90 degrees"", ""question"": ""When a circuit with a series inductance and capacitance is at resonant"", ""options"": [""the current in the circuit decreases"", ""the impedance of the circuit is such that the voltage is in phase with the"", ""the impedance of the circuit is such that the voltage leads the current""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.03.08"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M3,,,"In an AC circuit, the effective voltage is",equal to the maximum instantaneous voltage,greater than the maximum instantaneous voltage,less than the maximum instantaneous voltage,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""349. In an AC circuit, the effective voltage is\na) equal to the maximum instantaneous voltage\nb) greater than the maximum instantaneous voltage\nc) less than the maximum instantaneous voltage"", ""question"": ""In an AC circuit, the effective voltage is"", ""options"": [""equal to the maximum instantaneous voltage"", ""greater than the maximum instantaneous voltage"", ""less than the maximum instantaneous voltage""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""EASY""}"
M3,,,On a combined DC starter - generator system,the voltage regulator is connected to the shunt field after the start cycle,the series coil is open circuit during the engine start sequence,the voltage regulator controls the start sequence during engine starting,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""350. On a combined DC starter - generator system\na) the voltage regulator is connected to the shunt field after the start cycle\nis completed\nb) the series coil is open circuit during the engine start sequence\nc) the voltage regulator controls the start sequence during engine starting"", ""question"": ""On a combined DC starter - generator system"", ""options"": [""the voltage regulator is connected to the shunt field after the start cycle"", ""the series coil is open circuit during the engine start sequence"", ""the voltage regulator controls the start sequence during engine starting""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""EASY""}"
M3,M3.03.07,,is 1A. How much true power is the circuit consuming?,30VA,30W,10W,,,MEDIUM,"351. A pure capacitor, inductor and resistor are connected in series and the",,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""351. A pure capacitor, inductor and resistor are connected in series and the\nvoltage drops across each are 10V and the total current flowing in the circuit\nis 1A. How much true power is the circuit consuming?\na) 30VA\nb) 30W\nc) 10W"", ""question"": ""is 1A. How much true power is the circuit consuming?"", ""options"": [""30VA"", ""30W"", ""10W""], ""correct"": null, ""answer_text"": null, ""category"": ""351. A pure capacitor, inductor and resistor are connected in series and the"", ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.03.07"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M3,M3.3.2,2,is their approximate resonant frequency?,62Hz,3.2MHz,1.6kHz,,,EASY,352. If a capacitor 1µF and an inductor 10mH are connected in parallel what,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""352. If a capacitor 1µF and an inductor 10mH are connected in parallel what\nis their approximate resonant frequency?\na) 62Hz\nb) 3.2MHz\nc) 1.6kHz"", ""question"": ""is their approximate resonant frequency?"", ""options"": [""62Hz"", ""3.2MHz"", ""1.6kHz""], ""correct"": null, ""answer_text"": null, ""category"": ""352. If a capacitor 1µF and an inductor 10mH are connected in parallel what"", ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.2"", ""level"": 2, ""difficulty"": ""EASY""}"
M3,M3.3.2,2,Which wave form is stepped positive and negative with unequal length,Trapezoidal wave,Rectangular wave,Saw tooth wave,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""353. Which wave form is stepped positive and negative with unequal length\nsides?\na) Trapezoidal wave\nb) Rectangular wave\nc) Saw tooth wave\nPage 43\nModule 3 – Electrical Fundamentals\nSample Questions"", ""question"": ""Which wave form is stepped positive and negative with unequal length"", ""options"": [""Trapezoidal wave"", ""Rectangular wave"", ""Saw tooth wave""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.2"", ""level"": 2, ""difficulty"": ""MEDIUM""}"
M3,M3.1.5,,The value of an AC sine wave that will give an equivalent heating effect,average value,RMS value,peak value,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""354. The value of an AC sine wave that will give an equivalent heating effect\nin a DC resistor is the\na) average value\nb) RMS value\nc) peak value"", ""question"": ""The value of an AC sine wave that will give an equivalent heating effect"", ""options"": [""average value"", ""RMS value"", ""peak value""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.1.5"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M3,,,355. Where is the magnetic dip least?,Poles,Equator,Isoclinals,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""355. Where is the magnetic dip least?\na) Poles\nb) Equator\nc) Isoclinals"", ""question"": ""355. Where is the magnetic dip least?"", ""options"": [""Poles"", ""Equator"", ""Isoclinals""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""EASY""}"
M3,M3.3.07(a),,The dielectric constant of a capacitor is a measurement of,the electrostatic energy storing capacity of the capacitor dielectric,the electrical resistance of the capacitor dielectric,the electrical repulsion of electrons within the dielectric material,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""356. The dielectric constant of a capacitor is a measurement of\na) the electrostatic energy storing capacity of the capacitor dielectric\nb) the electrical resistance of the capacitor dielectric\nc) the electrical repulsion of electrons within the dielectric material"", ""question"": ""The dielectric constant of a capacitor is a measurement of"", ""options"": [""the electrostatic energy storing capacity of the capacitor dielectric"", ""the electrical resistance of the capacitor dielectric"", ""the electrical repulsion of electrons within the dielectric material""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.07(a)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M3,M3.3.2,2,"To reverse the direction of rotation on a DC shunt motor, you must",the field windings or the armature windings,the armature windings only,the field windings and the armature windings,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""357. To reverse the direction of rotation on a DC shunt motor, you must\nchange the direction of the current through\na) the field windings or the armature windings\nb) the armature windings only\nc) the field windings and the armature windings"", ""question"": ""To reverse the direction of rotation on a DC shunt motor, you must"", ""options"": [""the field windings or the armature windings"", ""the armature windings only"", ""the field windings and the armature windings""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.2"", ""level"": 2, ""difficulty"": ""MEDIUM""}"
M3,,,If the field current to a shunt wound DC motor is decreased when,reduce,increase,not change,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""358. If the field current to a shunt wound DC motor is decreased when\noperating at a constant load, the motor speed will\na) reduce\nb) increase\nc) not change"", ""question"": ""If the field current to a shunt wound DC motor is decreased when"", ""options"": [""reduce"", ""increase"", ""not change""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""MEDIUM""}"
M3,M3.3.1,1,An electric current is,a surplus of free electron,an excitement of electrons in a metal,an ordered flow of electrons,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""359. An electric current is\na) a surplus of free electron\nb) an excitement of electrons in a metal\nc) an ordered flow of electrons"", ""question"": ""An electric current is"", ""options"": [""a surplus of free electron"", ""an excitement of electrons in a metal"", ""an ordered flow of electrons""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.1"", ""level"": 1, ""difficulty"": ""EASY""}"
M3,,,An atom contains,molecules,hydrogen,electrons,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""360. An atom contains\na) molecules\nb) hydrogen\nc) electrons"", ""question"": ""An atom contains"", ""options"": [""molecules"", ""hydrogen"", ""electrons""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""EASY""}"
M3,M3.03.07,,361. What causes a transformer to be noisy?,High coil resistance,An air gap in the core,High core losses,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""361. What causes a transformer to be noisy?\na) High coil resistance\nb) An air gap in the core\nc) High core losses"", ""question"": ""361. What causes a transformer to be noisy?"", ""options"": [""High coil resistance"", ""An air gap in the core"", ""High core losses""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.03.07"", ""level"": null, ""difficulty"": ""EASY""}"
M3,,,Carbon has a,negative temperature coefficient,positive temperature coefficient,temperature coefficient of zero,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""362. Carbon has a\na) negative temperature coefficient\nb) positive temperature coefficient\nc) temperature coefficient of zero\nPage 44\nModule 3 – Electrical Fundamentals\nSample Questions"", ""question"": ""Carbon has a"", ""options"": [""negative temperature coefficient"", ""positive temperature coefficient"", ""temperature coefficient of zero""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""EASY""}"
M3,M3.1.5,,The peak factor for a sine wave is,0.707,1.414,1.11,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""363. The peak factor for a sine wave is\na) 0.707\nb) 1.414\nc) 1.11"", ""question"": ""The peak factor for a sine wave is"", ""options"": [""0.707"", ""1.414"", ""1.11""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.1.5"", ""level"": null, ""difficulty"": ""EASY""}"
M3,,,"364. If a motor is spinning at 50 cycles per second, how long is 1 cycle?",0.02 seconds,50 seconds,0.83 seconds,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""364. If a motor is spinning at 50 cycles per second, how long is 1 cycle?\na) 0.02 seconds\nb) 50 seconds\nc) 0.83 seconds"", ""question"": ""364. If a motor is spinning at 50 cycles per second, how long is 1 cycle?"", ""options"": [""0.02 seconds"", ""50 seconds"", ""0.83 seconds""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""MEDIUM""}"
M3,,,An integrated step input at unequal time base produces,a square wave,a sine wave,a saw tooth wave,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""365. An integrated step input at unequal time base produces\na) a square wave\nb) a sine wave\nc) a saw tooth wave"", ""question"": ""An integrated step input at unequal time base produces"", ""options"": [""a square wave"", ""a sine wave"", ""a saw tooth wave""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""MEDIUM""}"
M3,M3.3.9,2,366. A capacitor in series and inductor in parallel make what kind of filter?,Band pass,High pass,Low pass,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""366. A capacitor in series and inductor in parallel make what kind of filter?\na) Band pass\nb) High pass\nc) Low pass"", ""question"": ""366. A capacitor in series and inductor in parallel make what kind of filter?"", ""options"": [""Band pass"", ""High pass"", ""Low pass""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.9"", ""level"": 2, ""difficulty"": ""MEDIUM""}"
M3,,,"If a load in series has a current passing through it, the magnetic field",the corkscrew rule,left hand rule,right hand rule,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""367. If a load in series has a current passing through it, the magnetic field\ncan be worked out by using\na) the corkscrew rule\nb) left hand rule\nc) right hand rule"", ""question"": ""If a load in series has a current passing through it, the magnetic field"", ""options"": [""the corkscrew rule"", ""left hand rule"", ""right hand rule""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""MEDIUM""}"
M3,M3.3.2,2,is the 5th wire carrying?,2A in,2A out,5A out,,,EASY,"368. If the current flowing into a junction is 5A, 3A, 4A in and 10A out. What",,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""368. If the current flowing into a junction is 5A, 3A, 4A in and 10A out. What\nis the 5th wire carrying?\na) 2A in\nb) 2A out\nc) 5A out"", ""question"": ""is the 5th wire carrying?"", ""options"": [""2A in"", ""2A out"", ""5A out""], ""correct"": null, ""answer_text"": null, ""category"": ""368. If the current flowing into a junction is 5A, 3A, 4A in and 10A out. What"", ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.2"", ""level"": 2, ""difficulty"": ""EASY""}"
M3,,,"If an insulated conductor is placed near to a negatively charged rod,",negatively charged,positively charged,No change will occur,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""369. If an insulated conductor is placed near to a negatively charged rod,\nthe nearest end of the conductor becomes\na) negatively charged\nb) positively charged\nc) No change will occur"", ""question"": ""If an insulated conductor is placed near to a negatively charged rod,"", ""options"": [""negatively charged"", ""positively charged"", ""No change will occur""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""MEDIUM""}"
M3,M3.3.07(b),,would the color coding be?,"Brown, black, brown","Brown, black, black","Black, brown, black",,,EASY,"370. If 2 resistors, one red, yellow, black, gold and the other violet, blue,",,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""370. If 2 resistors, one red, yellow, black, gold and the other violet, blue,\nblack, silver were replaced by a single resistor. Ignoring tolerance, what\nwould the color coding be?\na) Brown, black, brown\nb) Brown, black, black\nc) Black, brown, black"", ""question"": ""would the color coding be?"", ""options"": [""Brown, black, brown"", ""Brown, black, black"", ""Black, brown, black""], ""correct"": null, ""answer_text"": null, ""category"": ""370. If 2 resistors, one red, yellow, black, gold and the other violet, blue,"", ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.07(b)"", ""level"": null, ""difficulty"": ""EASY""}"
M3,M3.3.2,2,Germanium and silicon have how many electrons in their outer shell,4,2,6,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""371. Germanium and silicon have how many electrons in their outer shell\na) 4\nb) 2\nc) 6\nPage 45\nModule 3 – Electrical Fundamentals\nSample Questions"", ""question"": ""Germanium and silicon have how many electrons in their outer shell"", ""options"": [""4"", ""2"", ""6""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.2"", ""level"": 2, ""difficulty"": ""MEDIUM""}"
M3,M3.3.1,1,"If a free electron is given to another atom, that atom is a",positive ion,negative ion,valency atom,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""372. If a free electron is given to another atom, that atom is a\na) positive ion\nb) negative ion\nc) valency atom"", ""question"": ""If a free electron is given to another atom, that atom is a"", ""options"": [""positive ion"", ""negative ion"", ""valency atom""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.1"", ""level"": 1, ""difficulty"": ""MEDIUM""}"
